INFO Thead01 com.ykfjava.week04.Thead02_Sleep - 当前线程 ： Thead01 ; 操作数： 0
INFO main com.ykfjava.week04.Thead02_Sleep - 当前线程 ： main ; 操作数： 0
INFO Thead01 com.ykfjava.week04.Thead02_Sleep - 当前线程 ： Thead01 ; 操作之后数： 1
INFO main com.ykfjava.week04.Thead02_Sleep - 当前线程 ： main ; 操作数： 0
INFO Thead01 com.ykfjava.week04.Thead02_Sleep - 当前线程 ： Thead01 ; 操作数： 1
INFO Thead01 com.ykfjava.week04.Thead02_Sleep - 当前线程 ： Thead01 ; 操作之后数： 2
INFO Thead01 com.ykfjava.week04.Thead02_Sleep - 当前线程 ： Thead01 ; 操作数： 0
INFO Thead01 com.ykfjava.week04.Thead02_Sleep - 当前线程 ： Thead01 ; 操作之后数： 1
INFO main com.ykfjava.week04.Thead02_Sleep - 当前线程 ： main ; 操作数： 0
INFO Thead01 com.ykfjava.week04.Thead02_Sleep - 当前线程 ： Thead01 ; 操作数： 0
INFO Thead01 com.ykfjava.week04.Thead02_Sleep - 当前线程 ： Thead01 ; 操作之后数： 1
INFO main com.ykfjava.week04.Thead02_Sleep - 当前线程 ： main ; 操作数： 0
INFO main com.ykfjava.week04.Thead02_Sleep - 当前线程 ： main ; 操作数： 0
INFO Thead01 com.ykfjava.week04.Thead02_Sleep - 当前线程 ： Thead01 ; 操作数： 0
INFO main com.ykfjava.week04.Thead02_Sleep - 当前线程 ： main ; 操作数： 0
INFO Thead01 com.ykfjava.week04.Thead02_Sleep - 当前线程 ： Thead01 ; 操作之后数： 1
INFO main com.ykfjava.week04.Thead02_Sleep - 当前线程 ： main ; 操作数： 0
INFO main com.ykfjava.week04.Thead02_Sleep - 当前线程 ： main ; 操作数： 1
INFO Thead01 com.ykfjava.week04.Thead02_Sleep - 当前线程 ： Thead01 ; 操作数： 1
INFO main com.ykfjava.week04.Thead02_Sleep - 当前线程 ： main ; 操作数： 1
INFO Thead01 com.ykfjava.week04.Thead02_Sleep - 当前线程 ： Thead01 ; 操作之后数： 2
INFO main com.ykfjava.week04.Thead02_Sleep - 当前线程 ： main ; 操作数： 1
INFO main com.ykfjava.week04.Thead02_Sleep - 当前线程 ： main ; 操作数： 1
INFO Thead01 com.ykfjava.week04.Thead02_Sleep - 当前线程 ： Thead01 ; 操作数： 1
INFO main com.ykfjava.week04.Thead02_Sleep - 当前线程 ： main ; 操作数： 1
INFO Thead01 com.ykfjava.week04.Thead02_Sleep - 当前线程 ： Thead01 ; 操作之后数： 2
INFO main com.ykfjava.week04.Thead02_Sleep - 当前线程 ： main ; 操作数： 1
INFO Thead01 com.ykfjava.week04.Thead01_Join - 当前线程 ： Thead01 ; 操作数： 56
